Index,Bandwidth
0.000512,4170.47
0.001024,4826.98
0.002048,4845.16
0.004096,4948.34
0.008192,4984.91
0.016384,4302.36
0.032768,5157.93
0.065536,3589.14
0.131072,3501.31
0.262144,3689.88
0.524288,3794.47
1.05,4780.74
2.10,4342.83
4.19,4456.49
8.39,6069.90
16.78,6474.36
33.55,8189.00
67.11,10423.87
134.22,16570.09
268.44,16599.81
536.87,16611.10
1073.74,16274.24
2147.48,16036.89
